"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 04, 2019","41,614.39","41,209.08","41,630.13","41,209.08","138.38K","1.22%"
"Feb 01, 2019","41,112.71","40,810.70","41,207.97","40,793.36","127.55K","0.77%"
"Jan 31, 2019","40,799.52","40,635.66","40,860.79","40,635.66","125.88K","0.47%"
"Jan 30, 2019","40,607.12","40,644.33","40,776.92","40,530.69","53.85K","-0.04%"
"Jan 29, 2019","40,624.39","40,421.95","40,647.97","40,307.23","73.70K","0.51%"
"Jan 28, 2019","40,420.09","40,277.09","40,465.15","40,261.39","68.02K","0.39%"
"Jan 25, 2019","40,264.78","40,307.01","40,379.95","40,165.72","116.78K","-0.06%"
"Jan 24, 2019","40,289.16","40,592.67","40,609.03","40,221.34","158.76K","0.58%"
"Jan 23, 2019","40,057.85","39,971.54","40,198.28","39,905.03","106.62K","0.39%"
"Jan 22, 2019","39,902.21","39,557.26","39,959.22","39,485.76","88.46K","0.91%"
"Jan 21, 2019","39,543.77","39,345.13","39,812.36","39,345.13","77.05K","0.60%"
"Jan 18, 2019","39,306.50","39,243.22","39,390.77","39,091.52","121.61K","0.16%"
"Jan 17, 2019","39,243.89","39,265.66","39,294.47","38,780.37","78.83K","-0.07%"
"Jan 16, 2019","39,271.94","39,608.15","39,622.47","39,225.41","69.18K","-0.86%"
"Jan 15, 2019","39,614.17","39,430.20","39,711.92","39,358.16","89.30K","0.51%"
"Jan 14, 2019","39,412.55","39,177.03","39,504.49","39,139.43","83.82K","0.93%"
"Jan 11, 2019","39,049.08","39,116.62","39,278.20","38,780.18","91.60K","-0.11%"
"Jan 10, 2019","39,090.28","39,023.67","39,225.55","38,997.55","66.45K","0.43%"
"Jan 09, 2019","38,921.69","39,201.03","39,267.53","38,816.50","96.86K","-0.33%"
"Jan 08, 2019","39,052.50","38,632.14","39,148.92","38,599.75","105.12K","1.27%"
"Jan 07, 2019","38,562.40","37,621.24","38,626.80","37,621.24","103.49K","2.70%"
"Jan 04, 2019","37,547.49","37,565.24","37,813.99","37,474.66","37.89K","0.01%"
"Jan 03, 2019","37,542.01","37,807.99","37,928.37","37,374.05","46.10K","-0.67%"
"Jan 02, 2019","37,795.25","38,046.70","38,449.04","37,710.38","88.05K","-0.53%"
"Jan 01, 2019","37,995.76","37,067.98","38,046.98","37,046.21","63.47K","2.51%"
"Dec 31, 2018","37,066.67","37,071.76","37,206.17","36,802.40","164.22K","-0.27%"
"Dec 28, 2018","37,167.02","37,368.80","37,368.80","36,918.66","133.40K","-1.81%"
"Dec 27, 2018","37,853.57","38,382.24","38,460.10","37,701.16","69.74K","-0.95%"
"Dec 26, 2018","38,218.07","38,318.41","38,358.08","38,168.54","61.08K","-0.24%"
"Dec 24, 2018","38,308.92","38,222.81","38,347.25","37,934.01","57.69K","0.15%"
"Dec 21, 2018","38,251.04","38,241.05","38,487.37","37,845.42","98.56K","0.04%"
"Dec 20, 2018","38,236.52","38,069.42","38,379.69","38,014.48","81.89K","0.46%"
"Dec 19, 2018","38,063.15","38,051.78","38,179.27","37,859.18","70.42K","-0.14%"
"Dec 18, 2018","38,115.81","38,245.98","38,323.44","37,979.03","68.15K","-0.50%"
"Dec 17, 2018","38,309.17","38,542.41","38,579.06","38,203.63","46.13K","-0.72%"
"Dec 14, 2018","38,585.66","38,062.64","38,597.68","38,033.83","65.90K","1.51%"
"Dec 13, 2018","38,011.63","38,328.51","38,464.79","37,767.01","57.73K","-0.77%"
"Dec 12, 2018","38,307.44","38,770.56","38,810.15","38,130.07","107.04K","-1.40%"
"Dec 11, 2018","38,851.96","39,338.68","39,338.68","38,801.13","84.43K","-1.14%"
"Dec 10, 2018","39,299.62","38,826.23","39,438.68","38,826.23","113.19K","1.91%"
"Dec 07, 2018","38,562.05","38,300.33","38,651.88","37,779.67","91.39K","0.68%"
"Dec 06, 2018","38,300.62","39,371.09","39,448.28","38,247.01","121.44K","-2.55%"
"Dec 05, 2018","39,303.11","39,607.10","39,607.10","38,719.62","87.96K","-0.76%"
"Dec 04, 2018","39,602.87","38,889.68","39,657.96","38,889.24","140.55K","1.13%"
"Dec 03, 2018","39,160.60","40,383.27","40,383.44","39,015.62","102.66K","-3.30%"
"Nov 30, 2018","40,496.03","40,625.67","40,936.73","40,339.93","212.88K","-0.35%"
"Nov 29, 2018","40,638.83","40,717.95","40,781.43","40,462.91","53.32K","-0.16%"
"Nov 28, 2018","40,704.80","40,944.66","41,081.23","40,653.71","76.39K","-0.46%"
"Nov 27, 2018","40,894.22","40,825.54","40,925.43","40,520.47","70.71K","0.30%"
"Nov 26, 2018","40,771.55","40,882.10","41,144.09","40,664.17","68.88K","-0.24%"
"Nov 23, 2018","40,869.28","40,839.64","40,899.47","40,655.08","69.74K","-0.01%"
"Nov 22, 2018","40,874.03","41,367.89","41,367.89","40,795.96","88.92K","-1.32%"
"Nov 20, 2018","41,419.24","41,376.42","41,465.81","41,214.11","79.64K","0.16%"
"Nov 19, 2018","41,352.77","41,682.92","41,682.92","41,240.51","68.04K","-0.74%"
"Nov 16, 2018","41,660.75","41,536.07","41,804.81","41,439.41","107.56K","0.56%"
"Nov 15, 2018","41,428.63","41,018.60","41,477.90","40,942.26","145.16K","1.06%"
"Nov 14, 2018","40,994.05","40,874.22","41,322.77","40,763.44","146.56K","-0.38%"
"Nov 13, 2018","41,152.28","41,112.26","41,202.42","40,760.59","91.31K","0.14%"
"Nov 12, 2018","41,096.33","41,414.31","41,572.17","41,052.97","96.97K","-0.71%"
"Nov 09, 2018","41,388.88","41,332.75","41,567.19","41,208.35","139.98K","0.05%"
"Nov 08, 2018","41,367.38","41,623.58","41,650.70","41,284.64","133.41K","-0.43%"
"Nov 07, 2018","41,543.98","41,326.74","41,597.93","41,231.19","169.72K","1.43%"
"Nov 06, 2018","40,958.53","41,432.27","41,554.31","40,755.79","142.33K","-1.29%"
"Nov 05, 2018","41,493.96","41,892.22","41,892.22","41,033.87","145.50K","-1.21%"
"Nov 02, 2018","42,004.09","41,701.98","42,243.83","41,607.16","209.73K","0.69%"
"Nov 01, 2018","41,716.10","41,616.27","41,827.05","41,454.54","151.71K","0.16%"
"Oct 31, 2018","41,649.36","41,611.95","41,825.55","41,237.48","178.97K","0.10%"
"Oct 30, 2018","41,609.03","41,648.88","41,792.81","41,366.58","220.16K","0.37%"
"Oct 29, 2018","41,453.76","40,556.45","41,513.63","40,556.45","279.10K","2.21%"
"Oct 26, 2018","40,556.45","39,736.39","40,604.91","39,375.42","237.22K","2.33%"
"Oct 25, 2018","39,631.91","39,697.70","40,069.40","39,409.49","200.46K","0.92%"
"Oct 24, 2018","39,271.12","38,580.29","39,296.33","38,580.29","167.68K","4.13%"
"Oct 23, 2018","37,714.90","38,345.42","38,365.32","37,582.69","117.84K","-1.64%"
"Oct 22, 2018","38,345.42","38,505.97","38,783.87","38,266.93","138.85K","-0.22%"
"Oct 19, 2018","38,430.27","38,019.32","38,467.41","37,759.95","115.56K","1.18%"
"Oct 18, 2018","37,982.25","37,806.08","38,189.16","37,438.38","116.46K","0.89%"
"Oct 17, 2018","37,647.34","36,686.20","37,704.08","36,684.95","101.31K","2.68%"
"Oct 16, 2018","36,663.38","36,784.07","37,339.49","36,491.56","92.13K","-0.28%"
"Oct 15, 2018","36,767.57","37,453.24","37,575.89","36,274.25","105.52K","-2.00%"
"Oct 12, 2018","37,517.93","38,445.08","38,445.08","37,405.40","92.22K","-2.29%"
"Oct 11, 2018","38,398.30","38,743.35","38,743.35","38,256.70","84.71K","-1.02%"
"Oct 10, 2018","38,792.09","38,551.30","38,826.80","37,894.09","112.57K","0.75%"
"Oct 09, 2018","38,504.84","37,965.23","39,027.34","37,965.23","125.04K","1.60%"
"Oct 08, 2018","37,898.29","39,224.88","39,297.31","37,769.61","113.82K","-3.39%"
"Oct 05, 2018","39,226.35","40,081.75","40,136.32","39,030.03","87.37K","-2.15%"
"Oct 04, 2018","40,087.12","40,568.92","40,603.73","39,993.98","54.99K","-1.17%"
"Oct 03, 2018","40,560.19","40,818.60","40,838.86","40,471.30","52.64K","-0.59%"
"Oct 02, 2018","40,800.25","40,974.07","41,214.48","40,739.76","66.60K","-0.32%"
"Oct 01, 2018","40,929.44","40,985.03","41,029.06","40,709.29","71.48K","-0.17%"
"Sep 28, 2018","40,998.59","40,862.69","41,047.08","40,622.11","98.75K","0.36%"
"Sep 27, 2018","40,851.80","40,904.34","40,972.79","40,383.23","95.30K","-0.14%"
"Sep 26, 2018","40,909.91","41,073.37","41,139.37","40,717.78","77.04K","-0.31%"
"Sep 25, 2018","41,036.30","41,018.81","41,193.18","40,957.32","54.64K","0.08%"
"Sep 24, 2018","41,004.55","41,394.97","41,533.64","40,899.28","54.85K","-0.76%"
"Sep 19, 2018","41,320.13","41,299.73","41,357.34","41,100.58","95.32K","0.20%"
"Sep 18, 2018","41,238.07","40,540.53","41,270.43","40,438.03","83.32K","1.77%"
"Sep 17, 2018","40,520.47","40,933.53","40,961.36","40,255.23","69.40K","-0.98%"
"Sep 14, 2018","40,920.31","41,147.91","41,230.69","40,790.06","80.63K","-0.32%"
"Sep 13, 2018","41,049.91","40,498.05","41,150.41","40,339.04","93.50K","1.30%"
"Sep 12, 2018","40,522.04","40,768.98","40,824.38","40,424.09","69.64K","-0.58%"
"Sep 11, 2018","40,759.53","40,723.40","40,943.19","40,519.03","77.72K","0.19%"
"Sep 10, 2018","40,684.05","40,860.60","40,927.49","40,369.17","60.27K","-0.42%"
"Sep 07, 2018","40,854.77","41,329.63","41,416.74","40,793.70","70.05K","-1.00%"
"Sep 06, 2018","41,266.39","41,609.97","41,715.01","41,223.56","97.34K","-0.85%"
"Sep 05, 2018","41,620.96","41,766.77","41,805.34","41,495.41","70.46K","-0.32%"
"Sep 04, 2018","41,753.89","41,594.98","41,790.77","41,555.96","65.13K","0.41%"
"Sep 03, 2018","41,581.96","41,731.76","41,736.28","41,192.04","80.84K","-0.38%"
"Aug 31, 2018","41,742.24","41,888.23","42,006.03","41,626.70","88.50K","-0.29%"
"Aug 30, 2018","41,863.52","42,261.44","42,273.52","41,659.26","85.93K","-0.91%"
"Aug 29, 2018","42,249.44","42,564.34","42,628.34","42,157.63","58.72K","-0.69%"
"Aug 28, 2018","42,544.47","42,730.05","42,843.36","42,516.35","75.61K","-0.47%"
"Aug 27, 2018","42,745.78","42,618.01","42,871.15","42,618.01","106.93K","0.37%"
"Aug 24, 2018","42,588.29","42,445.43","42,618.16","42,280.54","49.17K","0.38%"
"Aug 20, 2018","42,425.10","42,610.88","42,701.54","42,309.05","71.27K","-0.05%"
"Aug 17, 2018","42,446.62","42,006.53","42,552.84","41,991.98","111.78K","1.16%"
"Aug 16, 2018","41,960.80","42,422.98","42,483.11","41,750.54","83.62K","-1.14%"
"Aug 15, 2018","42,446.56","42,764.95","42,852.57","42,368.48","74.88K","-0.45%"
"Aug 13, 2018","42,637.58","42,813.29","42,857.58","42,594.14","87.29K","-0.48%"
"Aug 10, 2018","42,842.18","42,957.10","43,115.52","42,798.88","137.71K","-0.19%"
"Aug 09, 2018","42,923.95","42,760.66","42,960.94","42,696.35","107.40K","0.45%"
"Aug 08, 2018","42,731.86","42,784.80","42,857.12","42,639.24","92.95K","-0.07%"
"Aug 07, 2018","42,760.13","42,838.30","42,993.18","42,705.04","129.18K","-0.11%"
"Aug 06, 2018","42,808.66","42,564.41","42,854.32","42,453.88","76.54K","0.71%"
"Aug 03, 2018","42,505.05","42,233.74","42,553.37","42,097.07","114.14K","0.41%"
"Aug 02, 2018","42,330.32","42,936.70","42,976.17","42,286.20","170.12K","-1.12%"
"Aug 01, 2018","42,810.04","42,742.89","42,940.53","42,527.44","123.66K","0.23%"
"Jul 31, 2018","42,712.43","43,638.77","43,638.86","42,603.43","158.01K","-1.94%"
"Jul 30, 2018","43,556.63","43,045.59","43,605.04","43,045.59","176.41K","1.80%"
"Jul 27, 2018","42,786.45","42,089.56","42,845.49","42,014.05","187.53K","1.66%"
"Jul 26, 2018","42,089.16","42,106.57","42,136.06","41,696.26","129.86K","1.81%"
"Jul 24, 2018","41,339.22","40,494.45","41,461.83","40,487.07","107.58K","2.16%"
"Jul 23, 2018","40,463.98","41,217.85","41,219.17","40,418.18","61.17K","-1.84%"
"Jul 20, 2018","41,221.75","41,810.96","41,810.96","41,157.45","116.45K","-1.37%"
"Jul 19, 2018","41,795.59","41,298.73","41,896.08","41,298.73","178.97K","2.19%"
"Jul 18, 2018","40,897.90","40,017.55","40,980.30","40,005.24","131.27K","2.42%"
"Jul 17, 2018","39,932.98","39,658.99","40,012.61","39,330.88","86.40K","0.67%"
"Jul 16, 2018","39,665.77","40,394.30","40,464.86","39,396.37","93.22K","-1.50%"
"Jul 13, 2018","40,271.00","39,856.68","40,388.55","39,851.61","87.18K","0.99%"
"Jul 12, 2018","39,875.12","39,570.24","39,916.44","39,236.73","59.18K","0.73%"
"Jul 11, 2018","39,586.76","39,467.64","40,061.59","39,209.40","72.46K","0.34%"
"Jul 10, 2018","39,452.81","39,261.36","39,569.79","38,561.31","116.62K","0.42%"
"Jul 09, 2018","39,288.48","40,340.52","40,372.90","39,067.15","75.60K","-2.47%"
"Jul 06, 2018","40,284.14","40,223.75","40,435.97","40,028.64","75.86K","0.11%"
"Jul 05, 2018","40,238.81","40,350.51","40,755.22","40,106.01","93.33K","-0.26%"
"Jul 04, 2018","40,345.68","41,548.23","41,548.23","40,274.72","74.72K","-2.93%"
"Jul 03, 2018","41,564.42","41,738.36","41,749.14","41,513.95","42.32K","-0.41%"
"Jul 02, 2018","41,734.05","41,948.67","42,136.52","41,609.90","43.09K","-0.42%"
"Jun 29, 2018","41,910.90","41,998.66","42,081.88","41,750.01","90.72K","-0.21%"
"Jun 28, 2018","41,997.85","41,710.35","42,077.66","41,539.29","97.00K","0.67%"
"Jun 27, 2018","41,717.99","41,281.45","41,817.21","41,281.45","104.01K","1.14%"
"Jun 26, 2018","41,246.09","41,006.75","41,526.57","40,990.44","91.30K","0.65%"
"Jun 25, 2018","40,978.23","41,642.41","41,843.09","40,900.74","107.45K","-1.58%"
"Jun 22, 2018","41,637.38","42,336.83","42,499.86","41,561.76","120.52K","-1.70%"
"Jun 21, 2018","42,358.61","42,881.74","42,894.63","42,296.07","153.72K","-1.50%"
"Jun 20, 2018","43,002.83","43,683.32","43,746.21","42,954.89","91.52K","-1.56%"
"Jun 19, 2018","43,682.84","43,699.37","43,825.11","43,511.65","63.74K","0.00%"
"Jun 14, 2018","43,680.68","43,535.38","43,731.13","43,459.47","72.20K","0.40%"
"Jun 13, 2018","43,507.50","43,217.20","43,589.72","43,217.20","72.36K","0.64%"
"Jun 12, 2018","43,228.90","43,893.15","43,968.33","43,143.00","86.90K","-1.60%"
"Jun 11, 2018","43,931.16","44,046.00","44,244.07","43,838.17","104.45K","-0.04%"
"Jun 07, 2018","43,948.11","44,178.85","44,332.86","43,894.34","169.88K","-0.44%"
"Jun 06, 2018","44,144.20","43,767.67","44,170.72","43,679.68","158.93K","1.01%"
"Jun 05, 2018","43,702.58","43,295.58","43,747.18","43,197.44","122.61K","1.00%"
"Jun 04, 2018","43,268.29","42,903.41","43,293.91","42,832.94","73.12K","0.83%"
"Jun 01, 2018","42,912.81","42,780.91","42,969.38","42,749.42","38.55K","0.15%"
"May 31, 2018","42,846.64","42,574.60","42,919.72","42,496.37","98.88K","0.71%"
"May 30, 2018","42,546.48","42,667.17","42,773.81","42,337.51","84.02K","-0.18%"
"May 29, 2018","42,622.74","42,146.76","42,667.69","42,112.75","67.53K","1.15%"
"May 28, 2018","42,138.57","42,051.93","42,543.27","41,872.34","85.25K","0.15%"
"May 25, 2018","42,074.09","42,549.15","42,570.77","42,000.47","63.10K","-1.09%"
"May 24, 2018","42,536.16","42,776.83","42,838.15","42,446.82","68.99K","-0.55%"
"May 23, 2018","42,772.25","42,794.31","43,060.68","42,676.51","76.69K","0.06%"
"May 22, 2018","42,744.82","41,657.60","42,770.41","41,657.60","92.27K","2.63%"
"May 21, 2018","41,648.65","41,721.39","41,912.68","41,591.44","52.32K","0.06%"
"May 18, 2018","41,623.52","41,886.77","41,974.35","41,458.12","55.39K","-0.59%"
"May 17, 2018","41,869.65","42,272.84","42,277.00","41,833.60","33.40K","-1.02%"
"May 16, 2018","42,301.20","42,467.22","42,579.81","42,198.84","39.63K","-0.37%"
"May 15, 2018","42,459.53","42,478.99","42,608.08","41,845.31","111.34K","-0.09%"
"May 14, 2018","42,498.86","43,543.08","43,543.08","42,431.44","97.49K","-2.51%"
"May 11, 2018","43,594.79","43,869.07","44,027.58","43,550.68","86.30K","-0.60%"
"May 10, 2018","43,855.78","43,877.06","44,139.12","43,735.44","74.29K","0.14%"
"May 09, 2018","43,795.00","44,163.86","44,249.13","43,386.63","80.67K","-0.62%"
"May 08, 2018","44,066.96","44,364.02","44,440.10","43,925.64","80.07K","-0.70%"
"May 07, 2018","44,378.52","44,546.19","44,763.37","44,321.88","59.94K","-0.36%"
"May 04, 2018","44,536.91","44,750.79","44,785.32","44,467.44","68.78K","-0.47%"
"May 03, 2018","44,746.63","45,214.42","45,259.77","44,556.18","73.75K","-1.00%"
"May 02, 2018","45,196.37","45,471.74","45,484.39","45,160.64","64.76K","-0.64%"
"Apr 30, 2018","45,488.86","45,752.81","45,841.40","45,424.87","155.96K","-0.12%"
"Apr 27, 2018","45,542.78","45,470.35","45,671.76","45,458.25","98.49K","0.18%"
"Apr 26, 2018","45,460.87","45,769.04","45,780.94","45,427.19","86.79K","-0.56%"
"Apr 25, 2018","45,718.34","45,885.72","45,942.10","45,681.74","104.64K","-0.35%"
"Apr 24, 2018","45,876.70","45,426.10","45,911.61","45,409.50","84.50K","1.11%"
"Apr 23, 2018","45,371.95","45,235.40","45,452.98","45,191.00","61.79K","0.25%"
"Apr 20, 2018","45,259.34","45,400.36","45,525.73","45,153.92","57.83K","-0.28%"
"Apr 19, 2018","45,387.77","45,460.80","45,492.33","45,122.75","111.17K","-0.20%"
"Apr 18, 2018","45,478.63","45,835.14","46,003.96","45,423.95","85.23K","-0.71%"
"Apr 17, 2018","45,801.73","45,690.11","45,881.84","45,484.94","73.71K","0.26%"
"Apr 16, 2018","45,682.24","46,095.83","46,095.83","45,610.22","68.26K","-0.85%"
"Apr 13, 2018","46,071.86","46,310.41","46,349.69","46,036.23","105.27K","-0.56%"
"Apr 12, 2018","46,331.71","46,576.74","46,577.98","46,219.85","153.29K","-0.33%"
"Apr 11, 2018","46,486.49","46,557.41","46,759.47","46,472.15","106.35K","0.02%"
"Apr 10, 2018","46,476.73","46,599.81","46,679.69","46,407.10","74.86K","-0.22%"
"Apr 09, 2018","46,580.62","46,652.16","46,828.20","46,530.06","100.59K","-0.12%"
"Apr 06, 2018","46,637.62","46,783.54","47,144.12","46,542.82","136.41K","0.16%"
"Apr 05, 2018","46,560.82","46,325.39","46,656.93","46,085.10","113.58K","0.99%"
"Apr 04, 2018","46,103.61","46,058.24","46,447.91","46,037.54","148.45K","0.20%"
"Apr 03, 2018","46,013.34","45,744.57","46,057.53","45,692.02","135.74K","0.59%"
"Apr 02, 2018","45,741.43","45,624.13","45,771.40","45,413.69","128.18K","0.40%"
"Mar 30, 2018","45,560.30","45,483.29","45,604.59","45,391.71","109.23K","0.16%"
"Mar 29, 2018","45,489.62","45,157.83","45,506.11","45,155.51","163.04K","0.70%"
"Mar 28, 2018","45,172.99","45,032.93","45,232.77","44,899.51","142.67K","0.38%"
"Mar 27, 2018","45,004.19","45,100.61","45,307.45","44,936.12","104.10K","-0.18%"
"Mar 26, 2018","45,083.57","45,019.02","45,118.16","44,784.81","56.93K","0.12%"
"Mar 22, 2018","45,030.22","44,705.94","45,032.41","44,659.33","89.21K","0.86%"
"Mar 21, 2018","44,645.95","44,450.27","44,840.69","44,443.51","82.64K","0.76%"
"Mar 20, 2018","44,309.74","43,542.12","44,404.86","43,542.12","92.62K","1.77%"
"Mar 19, 2018","43,539.60","43,362.88","43,620.81","43,311.85","36.11K","0.41%"
"Mar 16, 2018","43,363.21","43,513.82","43,525.59","43,314.22","54.22K","-0.30%"
"Mar 15, 2018","43,495.07","43,409.07","43,509.56","43,366.67","39.44K","0.20%"
"Mar 14, 2018","43,407.72","43,601.78","43,601.95","43,346.39","47.24K","-0.48%"
"Mar 13, 2018","43,618.07","43,431.31","43,707.13","43,354.13","60.04K","0.48%"
"Mar 12, 2018","43,410.93","43,020.08","43,479.50","43,011.86","31.21K","0.93%"
"Mar 09, 2018","43,011.26","43,089.18","43,188.55","42,860.98","53.89K","-0.14%"
"Mar 08, 2018","43,072.74","43,416.46","43,475.56","42,940.70","69.03K","-0.85%"
"Mar 07, 2018","43,441.18","43,712.63","43,724.56","43,416.45","45.53K","-0.60%"
"Mar 06, 2018","43,705.10","43,852.32","44,044.01","43,660.46","61.33K","-0.28%"
"Mar 05, 2018","43,829.07","43,797.53","43,875.00","43,654.69","44.75K","0.20%"
"Mar 02, 2018","43,740.49","43,567.18","43,759.13","43,412.47","84.42K","0.53%"
"Mar 01, 2018","43,510.39","43,259.45","43,634.10","43,176.04","79.83K","0.63%"
"Feb 28, 2018","43,239.44","43,022.00","43,323.18","43,016.54","50.02K","0.57%"
"Feb 27, 2018","42,994.96","42,900.85","43,116.82","42,606.88","64.53K","0.20%"
"Feb 26, 2018","42,911.02","43,443.68","43,490.69","42,804.50","55.13K","-0.82%"
"Feb 23, 2018","43,267.20","43,746.75","43,797.11","43,014.03","96.11K","-0.60%"
"Feb 22, 2018","43,528.51","42,701.29","43,627.86","42,384.18","67.53K","1.42%"
"Feb 21, 2018","42,919.78","43,509.98","43,623.59","42,834.21","78.21K","-0.87%"
"Feb 20, 2018","43,294.95","43,587.98","43,588.77","42,864.82","68.89K","-0.64%"
"Feb 19, 2018","43,572.67","43,753.08","43,945.62","43,512.09","39.23K","-0.12%"
"Feb 16, 2018","43,627.10","42,916.87","43,691.28","42,916.87","63.84K","1.59%"
"Feb 15, 2018","42,942.35","43,377.08","43,451.31","42,859.85","83.85K","-0.95%"
"Feb 14, 2018","43,353.04","43,675.68","43,781.77","43,215.72","77.84K","-0.77%"
"Feb 13, 2018","43,690.36","43,582.09","43,878.33","43,548.81","61.85K","0.40%"
"Feb 12, 2018","43,515.08","43,795.20","43,900.20","43,461.25","65.91K","-0.67%"
"Feb 09, 2018","43,808.80","43,533.11","43,826.60","43,286.24","80.14K","0.30%"
"Feb 08, 2018","43,679.87","44,079.12","44,151.54","43,629.82","96.62K","-0.94%"
